,Unnamed: 0,X,id_X,premz,rtmed,rtmean,int,col_eng,pol,ms2Peaks,ms1Peaks,neutral_mass,SIRIUSCSV
106,107,107,endo_negM211R40ID107,210.953979492188,39.9022776,39.9022776,5275223.886719,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0107.txt,no ms1 peaks in QC,no mass from CAMERA,
107,108,108,endo_negM161R52ID108,161.045227050781,51.7625619,51.8101263,6145809.955078,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0108.txt,no ms1 peaks in QC,no mass from CAMERA,
108,109,109,endo_negM167R53ID109,167.020721435547,53.3096814,53.3160231,2021887.460938,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0109.txt,no ms1 peaks in QC,no mass from CAMERA,
109,110,110,endo_negM665R64ID110,665.212646484375,63.74178,63.78450525,251214.2382812,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0110.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM665R64ID110_structure.csv
110,111,111,endo_negM763R65ID111,763.179870605469,65.290152,65.289306,337899.9414063,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0111.txt,no ms1 peaks in QC,no mass from CAMERA,
111,112,112,endo_negM131R103ID112,131.034713745117,102.918741,102.915651,626336.4414063,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0112.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM131R103ID112_formula.csv
112,113,113,endo_negM197R120ID113,196.91015625,120.292116,120.288429,12610276.05713,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0113.txt,no ms1 peaks in QC,no mass from CAMERA,
113,114,114,endo_negM171R159ID114,171.011840820313,159.113082,159.11626725,2333502.879395,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0114.txt,no ms1 peaks in QC,no mass from CAMERA,
114,115,115,endo_negM199R246ID115,199.097274780273,245.812818,245.8006575,1292288.796875,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0115.txt,no ms1 peaks in QC,no mass from CAMERA,
115,116,116,endo_negM301R247ID116,301.201538085938,247.386426,247.428987,295474.3063965,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0116.txt,no ms1 peaks in QC,no mass from CAMERA,
116,117,117,endo_negM193R284ID117,193.123001098633,284.156973,284.156973,852452.6057129,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0117.txt,no ms1 peaks in QC,no mass from CAMERA,
117,118,118,endo_negM223R286ID118,223.133666992188,285.732327,285.732327,2594981.717529,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0118.txt,no ms1 peaks in QC,no mass from CAMERA,
118,119,119,endo_negM237R295ID119,237.112915039063,294.748632,294.747134,957873.3242188,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0119.txt,no ms1 peaks in QC,no mass from CAMERA,
119,120,120,endo_negM381R295ID120,381.191314697266,294.82989,294.82989,671696.5744629,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0120.txt,no ms1 peaks in QC,no mass from CAMERA,
120,121,121,endo_negM591R303ID121,591.2470703125,303.059322,302.6934276,163800.8218994,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0121.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM591R303ID121_structure.csv
121,122,122,endo_negM249R314ID122,249.14924621582,313.652988,314.170406,715192.3966064,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0122.txt,no ms1 peaks in QC,no mass from CAMERA,
122,123,123,endo_negM283R320ID123,283.191131591797,320.1057,320.093034,238919.8033447,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0123.txt,no ms1 peaks in QC,no mass from CAMERA,
123,124,124,endo_negM317R327ID124,317.152130126953,326.692788,326.120658,1206245.111816,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0124.txt,no ms1 peaks in QC,no mass from CAMERA,
124,125,125,endo_negM349R330ID125,349.201538085938,329.881122,329.881122,34960.5437011719,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0125.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM349R330ID125_structure.csv
125,126,126,endo_negM505R332ID126,505.264678955078,331.586118,331.586118,78059.255859375,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0126.txt,no ms1 peaks in QC,no mass from CAMERA,
126,127,127,endo_negM529R333ID127,529.26416015625,333.180096,333.180096,1930656.269043,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0127.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM529R333ID127_structure.csv
127,128,128,endo_negM546R335ID128,546.254211425781,334.737588,334.737588,310183.7568359,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0128.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM546R335ID128_structure.csv
128,129,129,endo_negM777R336ID129,777.440673828125,336.391584,336.391584,146554.515625,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0129.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM777R336ID129_structure.csv
129,130,130,endo_negM279R338ID130,279.159759521484,337.875066,337.875066,78269.2099609375,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0130.txt,no ms1 peaks in QC,no mass from CAMERA,
130,131,131,endo_negM298R339ID131,298.173400878906,339.39255,339.39255,694429.748291,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0131.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM298R339ID131_structure.csv
131,132,132,endo_negM325R341ID132,325.201354980469,340.955796,340.955796,229933.9245605,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0132.txt,no ms1 peaks in QC,no mass from CAMERA,
132,133,133,endo_negM339R343ID133,339.216888427734,342.708918,342.708918,439414.345459,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0133.txt,no ms1 peaks in QC,no mass from CAMERA,
133,134,134,endo_negM552R349ID134,552.317077636719,349.245858,349.245858,45205.0029296875,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0134.txt,no ms1 peaks in QC,no mass from CAMERA,
134,135,135,endo_negM261R346ID135,261.149200439453,345.923886,345.923886,87880.8159179688,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0135.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM261R346ID135_structure.csv
135,136,136,endo_negM333R349ID136,333.206756591797,349.299234,349.299234,95026.1557617188,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0136.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM333R349ID136_structure.csv
136,137,137,endo_negM521R356ID137,521.251525878906,355.764375,355.764375,108520.0397949,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0137.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM521R356ID137_structure.csv
137,138,138,endo_negM549R353ID138,549.236511230469,352.621086,352.621086,95202.505859375,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0138.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM549R353ID138_structure.csv
138,139,139,endo_negM599R356ID139,599.267150878906,355.684176,355.684176,168148.5419922,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0139.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM599R356ID139_formula.csv
139,140,140,endo_negM311R359ID140,311.186065673828,359.009532,359.009532,1052437.499268,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0140.txt,no ms1 peaks in QC,no mass from CAMERA,
140,141,141,endo_negM555R362ID141,555.279907226563,362.399508,362.399508,1609013.969482,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0141.txt,no ms1 peaks in QC,no mass from CAMERA,
141,142,142,endo_negM536R367ID142,536.298583984375,367.277862,367.277862,520747.8845215,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0142.txt,no ms1 peaks in QC,no mass from CAMERA,
142,143,143,endo_negM547R369ID143,547.267150878906,368.876712,368.876712,60160.337890625,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0143.txt,no ms1 peaks in QC,no mass from CAMERA,
143,144,144,endo_negM557R370ID144,557.29541015625,370.432092,370.432092,2826260.907471,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0144.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM557R370ID144_structure.csv
144,145,145,endo_negM574R372ID145,574.285400390625,372.149574,372.149574,408035.666748,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0145.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM574R372ID145_structure.csv
145,146,146,endo_negM331R380ID146,331.190887451172,380.064006,380.064006,226106.2626953,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0146.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM331R380ID146_structure.csv
146,147,147,endo_negM533R378ID147,533.295715332031,378.45801,378.45801,1913693.549316,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0147.txt,no ms1 peaks in QC,no mass from CAMERA,
147,148,148,endo_negM291R393ID148,291.196105957031,392.972475,392.972475,76743.9432373047,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0148.txt,no ms1 peaks in QC,no mass from CAMERA,
148,149,149,endo_negM317R390ID149,317.211700439453,389.671686,389.671686,858837.8425293,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0149.txt,no ms1 peaks in QC,no mass from CAMERA,
149,150,150,endo_negM509R391ID150,509.295623779297,391.437792,391.437792,2499018.072754,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0150.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM509R391ID150_structure.csv
150,151,151,endo_negM527R397ID151,527.252136230469,397.009623,397.009623,1957824.544678,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0151.txt,no ms1 peaks in QC,no mass from CAMERA,
151,152,152,endo_negM538R399ID152,538.314086914063,398.674125,398.674125,777909.2602539,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0152.txt,no ms1 peaks in QC,no mass from CAMERA,
152,153,153,endo_negM583R396ID153,583.311218261719,396.130884,396.130884,21032.8146972656,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0153.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM583R396ID153_structure.csv
153,154,154,endo_negM479R404ID154,479.240600585938,403.575141,403.575141,384279.2104492,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0154.txt,no ms1 peaks in QC,no mass from CAMERA,
154,155,155,endo_negM612R409ID155,612.329467773438,409.34166,408.807338,703100.9016113,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0155.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM612R409ID155_structure.csv
155,156,156,endo_negM315R408ID156,315.196228027344,408.44379,408.44379,164314.732666,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0156.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM315R408ID156_structure.csv
156,157,157,endo_negM713R418ID157,713.172241210938,417.860616,417.768688,723128.859375,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0157.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM713R418ID157_structure.csv
157,158,158,endo_negM561R418ID158,561.326721191406,417.74229,417.74229,292815.0793457,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0158.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM561R418ID158_structure.csv
158,159,159,endo_negM347R429ID159,347.094818115234,428.531958,428.531958,56768.7421875,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0159.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM347R429ID159_structure.csv
159,160,160,endo_negM366R430ID160,366.068542480469,430.133382,430.133382,196520.1564941,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0160.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM366R430ID160_structure.csv
160,161,161,endo_negM499R428ID161,499.266845703125,427.779792,427.779792,36702.4118652344,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0161.txt,no ms1 peaks in QC,no mass from CAMERA,
161,162,162,endo_negM329R436ID162,329.175354003906,435.753588,435.753588,76808.669921875,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0162.txt,no ms1 peaks in QC,no mass from CAMERA,
162,163,163,endo_negM455R439ID163,455.240631103516,439.077501,439.077501,376447.7670898,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0163.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM455R439ID163_structure.csv
163,164,164,endo_negM671R441ID164,671.198791503906,440.660367,440.660367,372960.4970703,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0164.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM671R441ID164_structure.csv
164,165,165,endo_negM243R449ID165,243.195922851563,449.333052,449.333052,2658522.837402,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0165.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM243R449ID165_formula.csv
165,166,166,endo_negM273R451ID166,273.185546875,450.887916,450.887916,2405451.630859,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0166.txt,no ms1 peaks in QC,no mass from CAMERA,
166,167,167,endo_negM326R449ID167,326.118377685547,448.53687,448.53687,734049.6708984,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0167.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM326R449ID167_structure.csv
167,168,168,endo_negM343R450ID168,343.120910644531,450.104988,450.104988,118385.5910645,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0168.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM343R450ID168_structure.csv
168,169,169,endo_negM229R458ID169,229.195617675781,458.067186,457.508854,232460.0246582,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0169.txt,no ms1 peaks in QC,no mass from CAMERA,
169,170,170,endo_negM679R474ID170,679.368286132813,473.813307,474.323826,524532.546875,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_0170.txt,no ms1 peaks in QC,no mass from CAMERA,
